ter·rify 	[ˈterɪfaɪ] 	:	1.동사 (몹시) 무섭게[겁먹게] 하다Flying terrifies her.비행기를 타는 것은 그녀를 무섭게 한다[비행기를 타는 것이 그녀는 무섭다].
re·lief 	[rɪˈliːf] 	:	1.명사 안도, 안심a sense of relief안도감2.명사 (고통·불안 등의) 경감[완화/제거]modern methods of pain relief현대적인 진통법들3.명사 구호품, 구호물자; 구호famine relief기아 구호품
weep 	[wiːp] 	:	1.동사 울다, 눈물을 흘리다She started to weep uncontrollably.그녀가 걷잡을 수 없이 울기 시작했다.2.동사 진물이 흐르다His legs were covered with weeping sores.그의 다리는 진물이 흐르는 상처투성이였다.3.명사 울기Sometimes you feel better for a good weep.때로는 한바탕 실컷 울고 나면 기분이 나아진다.
sob 	[sɑːb]	:	1.동사 (흑흑) 흐느끼다, 흐느껴 울다I heard a child sobbing loudly.난 어떤 아이가 크게 흐느껴 우는 소리를 들었다.2.동사 흐느끼며[흐느껴 울며] 말하다‘I hate him,’ she sobbed.“난 그가 싫어요.” 그녀가 흐느끼며 말했다.3.명사 흐느껴 울기[우는 소리], 흐느낌He gave a deep sob.그는 한바탕 서럽게 흐느꼈다.
de·lib·er·ate·ly		:	1.부사 고의로, 의도[계획]적으로She’s been deliberately ignoring him all day.그녀는 하루 종일 의도적으로 그를 무시하고 있다.2.부사 신중하게, 찬찬히He packed up his possessions slowly and deliberately.그는 자기 소지품들을 천천히 신중하게 꾸렸다.
|fall for somebody		:	1.~에게 홀딱 반하다[빠지다]They fell for each other instantly.그들은 즉시 서로에게 홀딱 빠졌다.
(all) by one|self 		:	1.혼자; 다른 사람 없이2.도움을 받지 않고
sneeze 	[sniːz] 	:	1.동사 재채기하다I’ve been sneezing all morning.난 오전 내내 재채기를 하고 있어.2.명사 재채기coughs and sneezes기침과 재채기
rum·mage 	[ˈrʌmɪdʒ] 	:	1.동사 뒤지다She was rummaging around in her bag for her keys.그녀는 열쇠를 찾아 가방 안을 이리저리 뒤지고 있었다.2.명사 뒤지기Have a rummage around in the drawer and see if you can find a pen.서랍을 이리저리 뒤져서 펜이 있는지 한번 봐.
fidget 	[ˈfɪdʒɪt] 	:	1.동사 (초조지루함흥분 등으로) 꼼지락거리다[가만히 못 있다]Sit still and stop fidgeting그만 좀 나부대고 가만히 앉아 있어2.명사 잠시도 가만히 못 있는 사람
whoosh 	[wʊʃ; wuːʃ] 	:	1.명사 쉭 하는 소리(공기물이 빠르게 지나가며 내는 소리)a whoosh of air쉭 하는 공기 소리2.동사 (아주 빠르게) 휙[쉭] 하고 지나가다
nod 	[nɑːd] 	:	1.동사 (고개를) 끄덕이다[끄덕여 나타내다]; (고개가) 끄덕여지다I asked him if he would help me and he nodded.내가 그에게 나를 도와주겠느냐고 물었더니 그가 고개를 끄덕였다.2.동사 (인사신호의 표시로 고개를) 까딱하다The president nodded to the crowd as he passed in the motorcade.대통령이 자동차를 타고 퍼레이드를 하면서 모인 사람들에게 고개를 까딱해 보였다.3.동사 턱을 들어 가리키다I asked where Steve was and she nodded in the direction of the kitchen.스티브가 어디 있냐고 내가 묻자 그녀가 턱을 들어 부엌 쪽을 가리켰다.
im·pressed 	[ɪmˈprest] 	:	1.형용사 인상 깊게 생각하는, 감명[감동]을 받은I must admit I am impressed.제가 감명을 받았음을 인정해야겠군요.
ador·able 	[əˈdɔːrəbl] 	:	1.형용사 사랑스러운What an adorable child정말 사랑스러운 아이구나
|watch |out		:	1.(위험하니까) 조심해라Watch out There’s a car coming조심해 차가 오고 있어
kick up a fuss 		:	1.소란피우다; 투덜거리다; 말썽꾸러기가 되다; 무례하게 행동하여 (남에게) 폐를 끼치다(row는 cow와 운을 같이 한다. 예문의 변형에 주의)They are kicking up a fuss.그들이 소동을 일으키고 있다.
read someone the riot act 		:	1.엄하게 나무라다; 엄중히 타이르다; …에게 엄한 질책을 하다I had to read my son the riot act, so that he could realize what he has done wrong.나는 아들이 잘못한 것을 인식하게 하기 위해 호되게 꾸짖어야 했다.
be·have 	[bɪˈheɪv] 	:	1.동사 (특정한 방식으로) 처신[행동]하다The doctor behaved very unprofessionally.그 의사는 아주 전문가답지 못하게 처신했다.2.동사 예의 바르게 행동하다Will you kids just behave얘들아 얌전하게 굴어야지3.동사 행동[행실]이 …한well-/badly-behaved children행실이 좋은/나쁜 아이들
ride a carousel[merry-go-round] 		:	1. 회전 목마를 타다
a haunted house		:	1. 귀신 나오는 집, 흉가
a while back		:	1.수주[수개월] 전에(는), 앞서(는)I talked to your parents a while back.나는 요전에 네 부모님들과 이야기를 나눴다.
pos·sibly	[|pɑːsəbli] 	:	1.부사 아마It was possibly their worst performance ever.그것은 아마 지금까지 있은 그들의 공연 중 최악의 공연이었을 것이다.2.부사 <놀라움·짜증스러움 등을 강조함>You can’t possibly mean that너 설마 그 말 진심은 아니겠지3.부사 <정중한 부탁을 할 때 씀>Could you possibly open that window?저 창문 좀 열어 주실 수 있으세요?
out of 		:	1.…의 안에서 밖으로, …의 밖으로The prisoner hopes to get out of jail within a few months.그 죄수는 몇 달 안에 출옥하기를 희망한다.2.…바깥에, …을 떨어져서3.(행위·능력 따위의) 범위 밖에(beyond)
take after 		:	1. …을 닮다(=resemble).
flat·ter	[ˈflætə(r)] 	:	1.동사 아첨하다, 알랑거리다Are you trying to flatter me?너 나한테 아첨하는 거니?2.동사 자기가 잘난 줄 착각하다‘How will you manage without me?’ ‘Don’t flatter yourself.’“나 없이 어떡할 거야?” “착각하지 마.”3.동사 (실제보다) 돋보이게 하다That colour doesn’t flatter many people.그 색깔이 많은 사람들을 돋보이게 하는 건 아니다[그 색깔을 입어서 돋보이는 사람이 많은 것은 아니다].
|grown-|up 		:	1.형용사 다 큰, 장성한, 어른[성인]이 된What do you want to be when you’re grown-up?넌 크면 뭐가 되고 싶니?2.형용사 성인[어른]에게 맞는The child was clearly puzzled at being addressed in such a grown-up way.그렇게 어른을 대하듯 말을 걸어오는 것에 그 아이는 표가 나게 어리둥절해 했다.
home·room 	[|hoʊmruːm] 	:	1. 명사 홈룸(학생들이 출석 점호 등을 위해 등교하면 모이는 교실. 또는 그 교실에서 보내는 시간)
spoil 	[spɔɪl] 	:	1.동사 망치다, 버려 놓다, 못쓰게 만들다Our camping trip was spoilt by bad weather.우리의 캠핑 여행은 날씨가 안 좋아서 망쳐 버렸다.2.동사 (아이를) 응석받이로[버릇없게] 키우다She spoils those kids of hers.그녀는 자녀들을 응석받이로 키운다.3.동사 (특별한 일로) 행복하게 하다Why not spoil yourself with a weekend in a top hotel?최고급 호텔에서 주말을 보내는 행복을 누려 보시지 않으시겠습니까?
deep |down		:	1.마음속으로는[내심]Deep down I still loved him.마음속으로는 난 아직도 그를 사랑하고 있었다.2.본심은[사실은]He seems confident but deep down he’s quite insecure.그가 (겉으로는) 자신감이 있어 보이지만 사실은 상당히 자신감이 부족하다.
|well |off 		:	1.형용사 부유한, 잘사는a well-off family부유한 가문2.형용사 사정[형편]이 좋은I’ve got my own room so I’m well off.나는 나만의 방이 있어서 형편이 좋다.
better off 		:	1. 형편이 더 나은
birds of a |feather (flock to|gether)		:	1. 같은 성향의 사람들(은 함께 모인다), 유유상종
whack	[wæk] 	:	1.동사 세게 치다, 후려치다She whacked him with her handbag.그녀가 핸드백으로 그를 후려쳤다.2.동사 (되는대로) 툭 놓다[던지다]Just whack your bags in the corner.네 가방들은 그냥 구석에 던져 놔.3.동사 (사람을) 살해하다[해치우다]
meanie	[ˈmiːni]	:	1. 명사 (특히 아이들 말로) 쩨쩨한 사람
snitch	[snɪtʃ] 	:	1.동사 (아이가 부모님·선생님에게) 일러바치다[고자질하다]Johnnie snitched on me to his mom.조니가 나를 자기 엄마한테 일러바쳤다.2.명사You little snitch I’ll never tell you anything again이 고자질쟁이 새끼 내가 다시 너한테 무슨 말을 하나 봐라
smirk 	[smɜːrk] 	:	1.동사 히죽히죽[능글맞게] 웃다It was hard not to smirk.히죽히죽 웃음이 나오는 걸 참기가 힘들었다.2.명사She had a self-satisfied smirk on her face.그녀는 흡족해서 헤벌쭉한 얼굴을 하고 있었다.
pluck	[plʌk] 	:	1.동사 (머리카락눈썹 등을) 뽑다She plucked out a grey hair.그녀는 흰 머리카락 한 올을 뽑아내었다.2.동사 (요리하기 위해 닭 등의) 털을 뽑다3.동사 (기타 등의 현을) 뜯다[퉁기다]to pluck the strings of a violin바이올린의 현을 뜯어 소리를 내다
mean 	[miːn] 	:	1.동사 …라는 뜻[의미]이다, …을 뜻하다[의미하다]What does this sentence mean?이 문장은 무슨 뜻인가요?2.동사 (특별한 의도를 담아) … 뜻으로 말하다What did he mean by that remark?그가 무슨 뜻으로 그런 말을 한 거지?3.동사 …을 의도하다[뜻하다/작정하다]What did she mean by leaving so early?그녀는 왜 그렇게 일찍 떠난 거지?
resort to violence 		:	1. 폭력을 쓰다
fuss 	[fʌs] 	:	1.명사 호들갑, 법석, 야단 He does what he’s told without any fuss.  그는 호들갑 떨지 않고 시키는 대로 한다.  2.명사 (특히 하찮은 것에 대한) 화[불평] I’m sorry for making such a fuss about the noise.  그 소음을 두고 그렇게 불평해서 미안해요.  3.동사 법석[야단/호들갑]을 떨다 Stop fussing around and find something useful to do  법석 그만 떨고 뭔가 좀 유용한 일거리를 찾아 봐
break the news 		:	소식을 전하다 
beep 	[biːp] 	:	1.명사 (전자 기기나 자동차 경적에서 나는) 삐[빵] 소리 2.동사 삐 소리를 내다 The microwave beeps to let you know when it has finished.  그 전자렌지는 작동이 끝나면 삐 소리로 알려준다.  3.동사 (자동차 경적이[을]) 빵 소리를 내다[울리다] The car behind started beeping at us.  뒤차가 우리에게 빵빵거리기 시작했다.
screech 	[skriːtʃ] 	:	1.동사 꽥[빽/끼익/쌩] 하는 소리를 내다(귀에 거슬리는 날카로운 소리를 냄을 나타냄) Monkeys were screeching in the trees.  원숭이들이 나무에서 꽥꽥거리고 있었다.  2.동사 쌩[끼익] 하는 소리를 내다 The car screeched to a halt outside the hospital.  그 차가 끼익 하는 소리를 내며 병원 밖에 멈춰 섰다.  3.명사 끼익; 빽, 꽥; 쌩쌩(귀에 거슬리는 날카로운 소리) a screech of brakes/tyres  브레이크/타이어가 끼익 하는 소리
wail 	[weɪl] 	:	1.동사 (슬픔통증 때문에) 울부짖다, 통곡하다, 흐느끼다 The little girl was wailing miserably.  그 어린 여자 애는 구슬피 흐느끼고 있었다.  2.동사 (큰소리로) 투덜거리다[불평하다] ‘It’s broken,’ she wailed.  “이게 깨져 버렸어.” 그녀가 큰소리로 투덜거렸다.  3.동사 (길고 높은) 소리를 내다[울리다] Ambulances raced by with sirens wailing.  구급차들이 사이렌 소리를 울리며 질주했다.
chat·ter 	[ˈtʃætə(r)] 	:	1.동사 수다를 떨다, 재잘거리다 They chattered away happily for a while.  그들은 한참 동안 기분 좋게 재잘거렸다.  2.동사 딱딱 맞부딪치다 3.동사 (요란하게) 지저귀다[깩깩거리다]
sus·pect 		:	1.동사 (확실하지는 않지만 특히 좋지 않은 일이 있다고있을 것으로) 의심하다 If you suspect a gas leak, do not strike a match or even turn on an electric light.  가스 누출이 의심되면 성냥을 켜지 말고 심지어 전깃불도 켜지 말아라.  2.동사 (믿지 못하고) 수상쩍어[의심쩍어] 하다 I suspected her motives in offering to help.  나는 도와주겠다는 그녀의 동기가 수상쩍었다.  3.동사 (어떤 범죄를 저지른 것으로) 의심하다[혐의를 두다] He resigned after being suspected of theft.  그는 절도 혐의를 받은 후 사직했다.
mean to 		:	 …할 셈이다
resort to 		:	~에 의지하다
re·sort 	[rɪˈzɔːrt] 	:	1.명사 휴양지, 리조트 seaside/ski/mountain, etc. resorts  해안/스키/산간 휴양지 등  2.명사 의지, 의존(다른 대안이 없어서, 특히 좋지 못한 것에 기대게 됨을 나타냄) There are hopes that the conflict can be resolved without resort to violence.  폭력에 의지하지 않고 그 갈등이 해결될 수 있을 것이라는 희망이 있다.  3.명사 (특정 상황에서의) 제1/마지막/최후의 수단 Strike action should be regarded as a last resort, when all attempts to negotiate have failed.  파업 행위는 협상을 하려는 모든 시도가 실패했을 때 취할 마지막 수단으로 여겨야 한다.
slump 	[slʌmp] 	:	1.동사 (가치수량가격 등이) 급감[급락/폭락]하다 Sales have slumped this year.  올해에는 매출이 급감했다.  2.동사 털썩 앉다; 푹 쓰러지다 The old man slumped down in his chair.  그 노인은 자기 의자에 털썩 앉았다.  3.명사 (가치수량가격 등의) 급감[급락/폭락] a slump in profits  수익 급감
|blend |in (with something/somebody) 		:	1.조화를 이루다; (주위 환경에) 섞여들다 Choose curtains that blend in with your decor.  실내 장식과 조화를 이루는 커튼을 골라라.
stand out 		:	동사 튀어나오다; 눈에 띄다, 빼어나다; 견디다; 주장하다.
crowd	[kraʊd] 	:	1.명사 (길거리나 스포츠 경기장 등에 모인) 사람들, 군중, 무리 He pushed his way through the crowd.  그는 사람들 사이를 밀치고 앞으로 나아갔다.  2.명사 (특정한) 집단[사람들] Bob introduced her to some of the usual crowd.  보브가 늘 만나는 사람들 몇 명에게 그녀를 소개했다.  3.명사 일반 대중, 보통 사람들 We all like to think we stand out from the crowd.  우리는 모두 자기가 일반 대중들하고는 다르다고 생각하고 싶어 한다.
associate manager 		:	1.대리 2.부매니저 3.과장
head·hunt 	[ˈhedhʌnt] 	:	1.동사 (인재를 찾아서) 스카우트하다 I was headhunted by a marketing agency.  나는 한 마케팅 회사에 스카우트되었었다.
to boot 		:	1.그것도(앞서 한 말에 대해 다른 말을 덧붙일 때) He was a vegetarian, and a fussy one to boot.  그는 채식주의자였다. 그것도 아주 까다로운. 
gor·geous 	[ˈɡɔːrdʒəs] 	:	1.형용사 아주 멋진[아름다운/좋은] a gorgeous girl / man  아주 멋진 아가씨/남자  2.형용사 선명한, 화려한 exotic birds with feathers of gorgeous colours  화려한 색상의 깃털을 가진 이국적인 새들
seem·ing·ly 	[ˈsiːmɪŋli] 	:	1.부사 외견상으로, 겉보기에는 a seemingly stupid question  외견상 어리석은 듯한 질문  2.부사 보아하니 Seemingly, he borrowed the money from the bank.  보아하니, 그가 은행에서 그 돈을 빌린 모양이다.
in·sur·mount·able 	[|ɪnsər|maʊntəbl] 	:	1. 형용사 대처[극복]할 수 없는
obs·tacle 	[|ɑːbstəkl]	:	1.명사 장애 A lack of qualifications can be a major obstacle to finding a job.  자격 부족은 직장을 구하는 데 주요한 장애가 될 수 있다.  2.명사 장애물 The area was full of streams and bogs and other natural obstacles.  그 지역에는 냇물, 습지, 또 다른 천연 장애물들이 가득했다.
pov·erty 	[ˈpɑːvərti] 	:	1.명사 가난, 빈곤 conditions of abject/extreme poverty  비참하게 가난한/극빈 상태  2.명사 (질적인) 부족[빈곤] There is a poverty of colour in her work.  그녀의 작품에는 색채가 부족하다.
two-story house 		:	1. 명사 이층집
man·sion 	[ˈmænʃn] 	:	1.명사 (인상적인) 대저택 an 18th century country mansion  18세기 때의 시골 대저택  2.명사 (아파트·연립 주택 건물 이름에 쓰여) 맨션 2 Moscow Mansions, Cromwell Road  크롬웰 가, 모스크바 맨션 2호
dump 	[dʌmp] 	:	1.동사 (특히 적절치 않은 곳에 쓰레기 같은 것을) 버리다 Too much toxic waste is being dumped at sea.  너무나 많은 유독성 폐기물이 바다에 버려지고 있다.  2.동사 ~을 (~에게) 떠넘기다 He’s got no right to keep dumping his problems on me.  그가 계속 자기 문제를 나한테 떠넘길 권리는 없어.  3.동사 (무엇을 아주 낮은 가격에, 흔히 다른 나라에) 팔아 치우다
roof·top 	[|ruːftɑːp] 	:	1.명사 (건물의) 옥상 From the hill we looked out over the rooftops of Athens.  우리는 그 언덕에서 아테네 건물들의 옥상을 내려다 보았다.
most of all 		:	1.그 중에서도, 무엇보다도 But most of all, she loves to bring buyers and sellers together.  하지만 그녀가 무엇보다도 사랑하는 것은 구매자와 매도자를 이곳에서 함께 만나게 하는 일인데요
hone 	[hoʊn] 	:	1.동사 (특히 기술을) 연마하다 His body was honed to perfection.  그의 몸은 완벽할 정도로 가꾸어져 있었다.  2.동사 (도구를 날카롭게) 갈다
prod·igy 	[|prɑːdədʒi] 	:	1.명사 영재 a child/an infant prodigy  신동
halt 	[hɔːlt] 	:	1.동사 멈추다, 서다; 세우다, 중단시키다 She walked towards him and then halted.  그녀가 그 사람이 있는 쪽으로 걸어가더니 섰다.  2.명사 멈춤, 중단 Work came to a halt when the machine broke down.  기계가 고장나서 작업이 중단되었다.  3.명사 (시골의) 간이역
prop·er·ly 	[ˈprɑːpərli] 	:	1.부사 제대로, 적절히 How much money do we need to do the job properly?  우리가 그 일을 제대로 하려면 돈이 얼마나 필요하죠?  2.부사 (사회적·도덕적으로) 올바로[제대로/예의 바르게] You acted perfectly properly in approaching me first.  당신은 처음 내게 다가올 때 전적으로 예의 바르게 행동했어요.  3.부사 실은, 사실 He had usurped powers that properly belonged to parliament.  그가 실은 의회에 속해 있던 권력을 찬탈했었다.
chair·man 	[|tʃermən] 	:	1.명사 (회의의) 의장 2.명사 (회사·위원회 등의) 회장 the chairman of the board of governors  (학교) 이사회 회장
se·nior 	[ˈsiːniə(r)] 	:	1.형용사 (계급지위가) 고위[고급/상급/상위]의 a senior officer/manager/lecturer, etc.  고급 장교/고위 경영자/(조교수급에 해당하는) 교수  2.형용사 (스포츠에서 상급 수준에 이른) 성인[일반인/고급 실력자]을 위한 to take part in senior competitions  성인 대회에 참가하다  3.형용사 시니어, 아버지(아들과 이름이 같은 남자의 이름 뒤에, 혼동을 피하기 위해 붙임)
ob·ses·sion 	[əbˈseʃn] 	:	1.명사 강박 상태; 집착 Her fear of flying is bordering on obsession.  그녀의 비행 공포증이 거의 강박 상태 수준이다.  2.명사 강박 관념 Fitness has become an obsession with him.  건강 관리가 그에게는 강박 관념이 되었다.
deal with 		:	1. ~을 다루다
in·timi·date 	[ɪnˈtɪmɪdeɪt] 	:	1.동사 (시키는 대로 하도록) 겁을 주다[위협하다] They were accused of intimidating people into voting for them.  그들은 자기들에게 투표를 하도록 사람들을 위협했다는 비난을 받았다.
roy·alty 	[ˈrɔɪəlti] 	:	1.명사 왕족(들) The gala evening was attended by royalty and politicians.  그 야간 경축 행사에는 왕족들과 정치인들이 참석했다.  2.명사 (책의) 인세, (음악 작품 등의) 저작권 사용료[수익금] All royalties from the album will go to charity.  그 앨범에서 나오는 모든 수익금은 자선기금으로 들어간다.  3.명사 (유정·광산) 사용료[특허권]
sigh 	[saɪ] 	:	1.동사 한숨을 쉬다, 한숨짓다 He sighed deeply at the thought.  그는 그 생각을 하며 깊은 한숨을 쉬었다.  2.동사 한숨을 쉬며[탄식하듯] 말하다 ‘Oh well, better luck next time,’ she sighed.  “뭐 저, 다음번에는 운이 더 좋겠지.” 그녀가 한숨을 쉬며 말했다.  3.동사 탄식하듯 불다
no·tice 	[|noʊtɪs] 	:	1.명사 신경씀, 주목, 알아챔 Don’t take any notice of what you read in the papers.  신문에서 읽는 내용에는 전혀 신경쓰지 마세요.  2.명사 (보통 공공장소에 붙이는) 공고문[안내문] There was a notice on the board saying the class had been cancelled.  게시판에 수업이 취소되었다는 안내문이 붙어 있었다.  3.명사 안내판, 표지판 a notice saying ‘Keep off the Grass’  ‘잔디밭에 들어가지 마시오’라는 표지판
hand in 		:	1. 동사 to return or submit (something, such as an examination paper)
run into 		:	1. 동사 뛰어들어가다; …와 충돌하다; …와 우연히 만나다; 합계 …이 되다.
